size,sort_name,array_type,average_time
45500,Hybrid Merge+Insertion Sort,random,18
45600,Hybrid Merge+Insertion Sort,random,18
45700,Hybrid Merge+Insertion Sort,random,18
45800,Hybrid Merge+Insertion Sort,random,18
45900,Hybrid Merge+Insertion Sort,random,18
46000,Hybrid Merge+Insertion Sort,random,18
46100,Hybrid Merge+Insertion Sort,random,18
46200,Hybrid Merge+Insertion Sort,random,18
46300,Hybrid Merge+Insertion Sort,random,18
46400,Hybrid Merge+Insertion Sort,random,18
46500,Hybrid Merge+Insertion Sort,random,19
46600,Hybrid Merge+Insertion Sort,random,19
46700,Hybrid Merge+Insertion Sort,random,18
46800,Hybrid Merge+Insertion Sort,random,19
46900,Hybrid Merge+Insertion Sort,random,19
47000,Hybrid Merge+Insertion Sort,random,19
47100,Hybrid Merge+Insertion Sort,random,20
47200,Hybrid Merge+Insertion Sort,random,19
47300,Hybrid Merge+Insertion Sort,random,19
47400,Hybrid Merge+Insertion Sort,random,19
47500,Hybrid Merge+Insertion Sort,random,19
47600,Hybrid Merge+Insertion Sort,random,19
47700,Hybrid Merge+Insertion Sort,random,19
47800,Hybrid Merge+Insertion Sort,random,20
47900,Hybrid Merge+Insertion Sort,random,20
48000,Hybrid Merge+Insertion Sort,random,19
48100,Hybrid Merge+Insertion Sort,random,19
48200,Hybrid Merge+Insertion Sort,random,19
48300,Hybrid Merge+Insertion Sort,random,19
48400,Hybrid Merge+Insertion Sort,random,19
48500,Hybrid Merge+Insertion Sort,random,20
48600,Hybrid Merge+Insertion Sort,random,20
48700,Hybrid Merge+Insertion Sort,random,19
48800,Hybrid Merge+Insertion Sort,random,20
48900,Hybrid Merge+Insertion Sort,random,20
49000,Hybrid Merge+Insertion Sort,random,20
49100,Hybrid Merge+Insertion Sort,random,20
49200,Hybrid Merge+Insertion Sort,random,20
49300,Hybrid Merge+Insertion Sort,random,20
49400,Hybrid Merge+Insertion Sort,random,20
49500,Hybrid Merge+Insertion Sort,random,20
49600,Hybrid Merge+Insertion Sort,random,20
49700,Hybrid Merge+Insertion Sort,random,20
49800,Hybrid Merge+Insertion Sort,random,20
49900,Hybrid Merge+Insertion Sort,random,20
50000,Hybrid Merge+Insertion Sort,random,20
50100,Hybrid Merge+Insertion Sort,random,20
50200,Hybrid Merge+Insertion Sort,random,20
50300,Hybrid Merge+Insertion Sort,random,20
50400,Hybrid Merge+Insertion Sort,random,20
50500,Hybrid Merge+Insertion Sort,random,20
50600,Hybrid Merge+Insertion Sort,random,21
50700,Hybrid Merge+Insertion Sort,random,21
50800,Hybrid Merge+Insertion Sort,random,21
50900,Hybrid Merge+Insertion Sort,random,21
51000,Hybrid Merge+Insertion Sort,random,21
51100,Hybrid Merge+Insertion Sort,random,21
51200,Hybrid Merge+Insertion Sort,random,21
51300,Hybrid Merge+Insertion Sort,random,22
51400,Hybrid Merge+Insertion Sort,random,21
51500,Hybrid Merge+Insertion Sort,random,21
51600,Hybrid Merge+Insertion Sort,random,21
51700,Hybrid Merge+Insertion Sort,random,21
51800,Hybrid Merge+Insertion Sort,random,21
51900,Hybrid Merge+Insertion Sort,random,21
52000,Hybrid Merge+Insertion Sort,random,21
52100,Hybrid Merge+Insertion Sort,random,21
52200,Hybrid Merge+Insertion Sort,random,21
52300,Hybrid Merge+Insertion Sort,random,21
52400,Hybrid Merge+Insertion Sort,random,22
52500,Hybrid Merge+Insertion Sort,random,21
52600,Hybrid Merge+Insertion Sort,random,21
52700,Hybrid Merge+Insertion Sort,random,21
52800,Hybrid Merge+Insertion Sort,random,21
52900,Hybrid Merge+Insertion Sort,random,21
53000,Hybrid Merge+Insertion Sort,random,21
53100,Hybrid Merge+Insertion Sort,random,21
53200,Hybrid Merge+Insertion Sort,random,21
